onet_soc_code,canonical_title,normalized_canonical_title,matched_target_families,alternate_title_count,knowledge_count,technology_example_count,sample_alternate_titles,sample_top_knowledge,sample_top_technology_examples
11-3071.00,"Transportation, Storage, and Distribution Managers",transportation storage and distribution managers,,124,4,15,Aerial Planting and Cultivation Manager | Air Export Logistics Manager | Airport Manager | Ammunition Storage Superintendent | Area Manager | Auto Fleet Manager | Automotive Services Manager | Bridges Supervisor,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | autodesk autocad civil 3d | bentley microstation | microsoft access | microsoft project | microsoft sql server | microsoft visio | oracle primavera enterprise project portfolio management
11-3071.04,Supply Chain Managers,supply chain managers,,31,4,15,Auto Parts Manager (Automotive Parts Manager) | Demand Planning Manager | Global Supply Chain Director | Global Supply Chain Manager | Inventory Control Supervisor | Inventory Manager | Inventory Supervisor | Logistics Supervisor,mathematics | computers and electronics | engineering and technology | telecommunications,microsoft excel | sap software | meditech software | microsoft access | microsoft project | microsoft sharepoint | microsoft sql server | microsoft visio
11-3111.00,Compensation and Benefits Managers,compensation and benefits managers,,27,4,15,Benefits Admin (Benefits Administrator) | Benefits Advisor | Benefits Coordinator | Benefits Director | Benefits Manager | Compensation Director | Compensation Manager | Compensation Program Manager,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | workday software | adobe illustrator | adobe photoshop | intuit quickbooks | microsoft access | microsoft project | microsoft sharepoint
11-3121.00,Human Resources Managers,human resources managers,,31,4,15,Diversity Manager | Diversity and Inclusion Director | Efficiency Manager | Employee Relations Manager | Employee Welfare Manager | Employment Manager | HR Admin Director (Human Resources Administration Director) | HR Coordinator (Human Resources Coordinator),computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | workday software | facebook | ibm spss statistics | intuit quickbooks | kronos workforce timekeeper | microsoft access | microsoft project
11-3131.00,Training and Development Managers,training and development managers,,39,4,15,Apprenticeship Consultant | Development Associate | Development Coordinator | Development Director | E-Learning Manager (Electronic Learning Manager) | Education and Development Manager | Education and Training Manager | Employee Development Director,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | adobe acrobat | adobe illustrator | adobe photoshop | apache cassandra | cisco webex | epic systems | javascript
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",farmers ranchers and other agricultural managers,,73,4,15,Accredited Farm Manager (AFM) | Activation Manager | Agricultural Crop Farm Manager | Agricultural Manager | Agriculture Farmer | Agriculture Manager | Agronomy Manager | Agronomy Operations Manager,mathematics | engineering and technology | computers and electronics | telecommunications,microsoft excel | adobe photoshop | atlassian confluence | facebook | microsoft access | microsoft visio | sap software | accutech systems corporation accufarm-mgr
11-9021.00,Construction Managers,construction managers,,32,4,15,Bridges and Buildings Supervisor | Commercial Construction Project Manager | Commercial Construction Superintendent | Commercial Superintendent | Concrete Foreman | Construction Area Manager | Construction Coordinator | Construction Director,mathematics | engineering and technology | computers and electronics | telecommunications,microsoft excel | microsoft project | procore software | adobe acrobat | adobe creative cloud software | autodesk autocad | autodesk autocad civil 3d | autodesk revit
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",education and childcare administrators preschool and daycare,,39,4,15,After School Site Director | Art Coordinator | Assessment Coordinator | Before and After School Program Director | Before and After School Site Director | Center Administrator | Center Manager | Child Care Center Administrator,mathematics | computers and electronics | engineering and technology | telecommunications,intuit quickbooks | microsoft excel | acs technologies headmaster | auburn software debit square | b and i computer consultants childcare sage | bloomz | cirrus group daycare works | echurch com schoolperfect
11-9032.00,"Education Administrators, Kindergarten through Secondary",education administrators kindergarten through secondary,,41,4,15,Academic Advisor | Assessment Coordinator | Athletic Coordinator | Athletic Director | Commission for the Blind Director | Curriculum Director | Curriculum and Instruction Superintendent | Education Supervisor,mathematics | computers and electronics | engineering and technology | telecommunications,microsoft excel | apache cassandra | ibm spss statistics | microsoft access | microsoft sharepoint | sas | the mathworks matlab | student information systems sis software
11-9033.00,"Education Administrators, Postsecondary",education administrators postsecondary,,69,4,15,Academic Affairs Dean | Academic Affairs Director | Academic Affairs Vice President (Academic Affairs VP) | Academic Coordinator | Academic Dean | Academic Vice President (Academic VP) | Administration Dean | Admissions Coordinator,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | facebook | google docs | hypertext markup language html | ibm spss statistics | microsoft access | microsoft project | microsoft sharepoint
11-9039.00,"Education Administrators, All Other",education administrators all other,,27,0,0,Apprenticeship Consultant | Apprenticeship Representative | Area Supervisor | Attache | Community Health Nursing Educational Director | Correctional Institution Education Supervisor | Director of Extension Work | Director of Health Education,,
11-9041.00,Architectural and Engineering Managers,architectural and engineering managers,,33,4,15,Architect Manager | Architectural Project Manager | Civil Engineering Manager | Civil Project Manager (Civil PM) | Data Engineering Director | Data Engineering Manager | Electrical Engineering Director | Electrical Engineering Manager,engineering and technology | mathematics | computers and electronics | telecommunications,autodesk autocad | microsoft excel | amazon dynamodb | amazon elastic compute cloud ec2 | amazon redshift | amazon web services aws software | ansible software | apache cassandra
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,biofuels / biodiesel technology and product development managers,,18,4,15,Analytical Research Program Manager | Biodiesel Division Manager | Biodiesel Engineering Manager | Biodiesel Product Development Manager | Biodiesel Product Manager | Biodiesel Technology Development Manager | Biodiesel Technology Manager | Biofuels Engineering Manager,engineering and technology | mathematics | computers and electronics | telecommunications,adobe illustrator | epic systems | linux | microsoft excel | microsoft project | microsoft sql server | microsoft sql server integration services ssis | microsoft sql server reporting services ssrs
11-9051.00,Food Service Managers,food service managers,,45,4,15,Banquet Director | Banquet Manager | CDM (Certified Dietary Manager) | CFPP (Certified Food Protection Professional) | Cafe Operator | Cafeteria Director | Cafeteria Manager | Cafeteria Operator,mathematics | computers and electronics | telecommunications | engineering and technology,facebook | google docs | intuit quickbooks | microsoft excel | microsoft project | aestiva employee time clock | apache groovy | army food management information system
11-9071.00,Gambling Managers,gambling managers,,33,4,4,Baccarat Manager | Bingo Manager | Blackjack Manager | Cage Manager | Cage Shift Manager | Card Room Manager | Casino Manager | Casino Operations Manager,mathematics | computers and electronics | engineering and technology | telecommunications,microsoft excel | employee scheduling software | human resources management system hrms | web browser software
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",entertainment and recreation managers except gambling,,58,4,15,Activities Manager | Amusement Park Manager | Aquatics Director | Aquatics Manager | Boat Club Manager | Camp Director | Camp and Recreation Manager | Club Director,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | adobe acrobat | apple macos | atlassian confluence | cisco webex | facebook | google docs | hubspot software
11-9081.00,Lodging Managers,lodging managers,,48,4,15,Accommodations General Manager | Accommodations Manager | Agricultural Labor Camp Manager | Apartment Coordinator | Bed and Breakfast Innkeeper | Boardinghouse Keeper | Camp Director | Campground Manager,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | facebook | microsoft access | property management system pms software | accounting software | anand systems asi frontdesk | delphi technology | email software
11-9111.00,Medical and Health Services Managers,medical and health services managers,,95,4,15,Assisted Living Administrator | Assisted Living Manager | Cancer Center Director | Care Coordinator | Client Services Director | Clinic Director | Clinical Director | Clinical Informatics Director,computers and electronics | mathematics | engineering and technology | telecommunications,microsoft excel | adobe acrobat | apache hadoop | apache maven | autodesk revit | cisco webex | eclinicalworks ehr software | epic systems
11-9121.00,Natural Sciences Managers,natural sciences managers,,34,4,15,Agricultural Research Director | Agriculture Research Director | Analytical Services Manager | Chemical Engineer Supervisor | Chemical Plant Technical Director | Chemical Process Exploration Manager | Clinical Project Manager | Clinical Trials Manager,computers and electronics | mathematics | engineering and technology | telecommunications,microsoft excel | r | adobe acrobat | adobe photoshop | esri arcgis software | ibm spss statistics | microsoft access | microsoft project
11-9121.01,Clinical Research Coordinators,clinical research coordinators,,22,4,15,Clinical Coordinator | Clinical Data Coordinator | Clinical Manager | Clinical Program Coordinator | Clinical Program Manager | Clinical Project Manager | Clinical Research Administrator | Clinical Research Coordinator,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | ibm spss statistics | microsoft access | microsoft project | python | r | sas | the mathworks matlab
11-9121.02,Water Resource Specialists,water resource specialists,,14,4,15,Community Resource Consultant | Environmental Resource Specialist | Hydrotechnical Specialist | Hydrotechnician | Power Supply Engineer | Resource Specialist | Water Quality Specialist | Water Resource Agent,engineering and technology | mathematics | computers and electronics | telecommunications,esri arcgis software | microsoft excel | autodesk autocad | structured query language sql | geographic information system gis systems | customer relationship management crm software | database software | dhi mike urban
11-9131.00,Postmasters and Mail Superintendents,postmasters and mail superintendents,,15,4,15,Delivery Supervisor | Distribution Operation Supervisor (SDO) | Distribution Operations Manager | Distribution Operations Supervisor | Mail Delivery Supervisor | Mail Superintendent | Order to Delivery Supervisor | Postal Service Sectional Center Manager,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | microsoft windows | sap software | collection point management system cpms | ebuy | email software | facility database software | payroll software
11-9141.00,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,,64,4,15,Apartment Community Manager | Apartment House Manager | Apartment Manager | Apartment Property Manager | Building Rental Manager | Building Rental Superintendent | Building Superintendent | Cemetery Manager,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | yardi software | facebook | google analytics | google docs | hypertext markup language html | intuit quickbooks | microsoft access
11-9151.00,Social and Community Service Managers,social and community service managers,,69,4,15,Adoption Services Manager | Adult Daycare Coordinator | Borough Coordinator | Case Manager | Case Services Manager | Casework Department Director | Casework Director | Casework Services Director,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft access | microsoft excel | microsoft project | blackbaud the raiser s edge | client information databases | corel quattropro | corel wordperfect office suite | filemaker pro
11-9161.00,Emergency Management Directors,emergency management directors,,23,4,15,911 Communications Manager | Change Management Specialist | Civil Defense Director | Civil Preparedness Officer | Disaster Response Director | Emergency Management Coordinator | Emergency Management Director | Emergency Management Planner,telecommunications | computers and electronics | mathematics | engineering and technology,microsoft excel | esri arcgis software | microsoft sharepoint | alert technologies opscenter | desktop publishing software | digital engineering corporation e-maps | emergency managers weather information network emwin | emergency services integrators esi webeoc
11-9171.00,Funeral Home Managers,funeral home managers,,15,4,13,Advanced Planning Director | Arranging Funeral Director | Funeral Counselor | Funeral Director | Funeral Home Director | Funeral Home GM (Funeral Home General Manager) | Funeral Home Location Manager | Funeral Home Manager,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | codejam memoriesontv | csr consultants cemetery management sc | email software | financial reporting software | fpa software maccs | funeralone life tributes | hmis advantage
11-9179.00,"Personal Service Managers, All Other",personal service managers all other,,1,0,0,Travel Agency Manager,,
11-9179.01,Fitness and Wellness Coordinators,fitness and wellness coordinators,,43,4,12,Campus Wellness Coordinator | Certified Wellness Program Coordinator | Certified Wellness Program Manager | City Wellness Coordinator | Clinical and Wellness Programs Manager | Corporate Fitness Program Coordinator | Corporate Wellness Coordinator | County Public Health Wellness Coordinator,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | adobe acrobat | google workspace software | microsoft windows | airtable | email software | microfit healthwizard | microsoft publisher
11-9179.02,Spa Managers,spa managers,,15,4,15,Day Spa Manager | Hair Salon Manager | Health Spa Manager | Massage Department Manager | Med Spa Manager | Salon Coordinator | Salon Leader | Salon Manager,mathematics | computers and electronics | telecommunications | engineering and technology,facebook | microsoft excel | bizlink salon manager | booker software spabooker | clientrak | crimpers management software crimpers salon software | csi software spa management | daysmart software salon iris
11-9199.00,"Managers, All Other",managers all other,,173,0,0,Animal Ride Manager | Aquatic Facility Manager | Area Development Manager | Area Supervisor | Armored Transport Service Manager | Art Coordinator | Arts Administrator | Association Executive,,
11-9199.01,Regulatory Affairs Managers,regulatory affairs managers,,22,4,15,"CMC Director (Chemistry, Manufacturing, and Controls Director) | CMC Regulatory Affairs Manager (Chemistry, Manufacturing and Controls Regulatory Affairs Manager) | Compliance Director | Global RA Director (Global Regulatory Affairs Director) | Global RA Manager (Global Regulatory Affairs Manager) | International Regulatory Affairs Specialist | RA Director (Regulatory Affairs Director) | RA Manager (Regulatory Affairs Manager)",computers and electronics | mathematics | engineering and technology | telecommunications,microsoft excel | adobe acrobat | microsoft access | microsoft project | microsoft sharepoint | microsoft visio | microsoft windows | sap software
11-9199.02,Compliance Managers,compliance managers,,27,4,15,Accreditation Lieutenant | Accreditation Manager | Anti Money Laundering Compliance Manager (AML Compliance Manager) | Audit Manager | Compliance Audit Manager | Compliance Coordinator | Compliance Director | Compliance Manager,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | adobe acrobat | apple safari | microsoft access | microsoft project | microsoft sharepoint | microsoft visio | microsoft windows
11-9199.08,Loss Prevention Managers,loss prevention managers,,22,4,15,Area Asset Protection Manager | Area Loss Prevention Manager | Asset Protection Leader | Asset Protection Manager | Asset Protection Supervisor | Asset Protection and Safety Manager | Asset Safety Manager | District Asset Protection Manager,computers and electronics | mathematics | telecommunications | engineering and technology,google workspace software | microsoft excel | microsoft access | microsoft project | microsoft sharepoint | microsoft windows | mysql | sap software
11-9199.09,Wind Energy Operations Managers,wind energy operations managers,,22,4,15,Clean Energy Site Manager | Energy Environmental Manager | Energy Operations Manager | Energy Quality Control Manager (Energy QC Manager) | Energy Services Manager | Offshore Energy Environmental Manager | Offshore Wind Operations Manager | Renewable Energy Development Manager,engineering and technology | computers and electronics | mathematics | telecommunications,autodesk autocad | microsoft excel | microsoft project | sap software | computerized diagnostic software | computerized maintenance management system cmms | employee scheduling software | gensuite
11-9199.10,Wind Energy Development Managers,wind energy development managers,,21,4,9,Business Development Director | Business Development Manager | Development Director | Development Manager | Energy Director | Energy Project Director | Environmental Projects Advisor | Project Development Leader,engineering and technology | mathematics | computers and electronics | telecommunications,autodesk autocad | esri arcgis software | microsoft excel | microsoft project | microsoft visio | sap software | oracle primavera systems | web browser software
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,brownfield redevelopment specialists and site managers,,33,4,15,Brownfield Program Director | Brownfield Program Manager | Brownfield Redevelopment Coordinator | Brownfield Redevelopment Site Manager | Brownfield Redevelopment Specialist | Brownfields Practice Leader | Brownfields Program Coordinator | Brownfields Program Manager,mathematics | engineering and technology | computers and electronics | telecommunications,esri arcgis software | linux | microsoft access | microsoft excel | microsoft powershell | microsoft project | microsoft sharepoint | microsoft sql server reporting services ssrs
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",agents and business managers of artists performers and athletes,,50,4,15,Acquisition Agent | Advance Agent | Agent | Artist Manager | Artist Representative | Artist's Manager | Artist's Representative | Athlete Manager,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | adobe photoshop | apple macos | facebook | salesforce software | zoom | avid technology inews | customer relationship management crm software
13-1021.00,"Buyers and Purchasing Agents, Farm Products",buyers and purchasing agents farm products,,87,4,15,Agriculture Industry Coordinator | Agriculture Industry Specialist | Buyer | Buying Agent | Cattle Broker | Cattle Buyer | Cattle Dealer | Cattle Shipper,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | sap software | amazon web services aws software | atlassian jira | google angular | microsoft access | microsoft project | oracle database
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",wholesale and retail buyers except farm products,,43,4,15,Acquisition Specialist | Art Dealer | Buyer | Buying Professional | Category Planner | Commodity Buyer | Contract Sourcing Specialist | Contracts Specialist,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | sap software | eclipse ide | facebook | intuit quickbooks | microsoft access | microsoft project | microsoft sharepoint
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",purchasing agents except wholesale retail and farm products,,39,4,15,"Buyer | Contract Administrator (Contract Admin) | Contract Analyst | Contract Specialist | Contractor Buyer | Contracts Manager | Equipment, Supplies, and Tools Purchasing Agent | Fuel Agent",mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | microsoft sharepoint | sap software | adobe acrobat | google docs | intuit quickbooks | microsoft access | microsoft project
13-1031.00,"Claims Adjusters, Examiners, and Investigators",claims adjusters examiners and investigators,,72,4,15,Accident Investigator | Adjuster | Adjustment Clerk | Auto Claims Adjuster (Automotive Claims Adjuster) | Auto Damage Claims Adjuster (Automotive Damage Claims Adjuster) | Benefit Authorizer | Bodily Injury Claims Adjuster | Bodily Injury Claims Examiner,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | apple safari | microsoft access | mozilla firefox | zoom | xactware xactimate | 4n6xprt systems stiffcalcs | adp software
13-1032.00,"Insurance Appraisers, Auto Damage",insurance appraisers auto damage,,41,4,15,Appraisal Specialist | Appraiser | Auto Body Appraiser | Auto Body Repair Estimator | Auto Collision Estimator | Auto Damage Insurance Appraiser | Automobile Appraiser (Auto Appraiser) | Automobile Body Estimator (Auto Body Estimator),computers and electronics | mathematics | telecommunications | engineering and technology,adobe acrobat | microsoft excel | microsoft windows | disassembler software | a-t solutions easy street draw | app software associations apptrak net | cost estimating software | email software
13-1041.00,Compliance Officers,compliance officers,,63,4,13,Air Pollution Compliance Inspector | Certified Driver Examiner (CDE) | Certified Driver License Test Administrator | Compliance Administrator (Compliance Admin) | Compliance Analyst | Compliance Consultant | Compliance Coordinator | Compliance Examiner,computers and electronics | telecommunications | mathematics | engineering and technology,microsoft excel | microsoft access | microsoft windows | commercial driver s license information system cdlis | computer-assisted testing software | database software | digital imaging system software | document scanning software
13-1041.01,Environmental Compliance Inspectors,environmental compliance inspectors,,42,4,15,"Agricultural Chemicals Inspector | Agricultural Chemicals Registration Specialist | Air Permitting and Enforcement Inspector | Air Pollution Inspector | Authorized Inspector | Certified Erosion, Sediment, and Storm Water Inspector (CESSWI) | City Sanitarian | Compliance Analyst",computers and electronics | mathematics | engineering and technology | telecommunications,microsoft excel | adobe acrobat | autodesk autocad | microsoft access | microsoft project | microsoft sharepoint | salesforce software | sap software
13-1041.03,Equal Opportunity Representatives and Officers,equal opportunity representatives and officers,,15,4,15,Action Officer | Affirmative Action Officer (AA Officer) | Appeals Coordinator | Civil Rights Investigator | Civil Rights Representative | Civil Rights Specialist | Complaint Investigations Officer | Equal Employment Opportunity Officer (EEO Officer),computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | microsoft access | microsoft sharepoint | bashen eeofedsoft | bashen eeosoft | bashen linkline | berkshire associates balanceaap | biddle adverse impact toolkit
13-1041.04,Government Property Inspectors and Investigators,government property inspectors and investigators,,25,4,15,Adjustment Examiner | Airport Operations Officer | Compliance Analyst | Compliance Coordinator | Contract Inspector | Government Gauger | Housing Inspector | Housing Management Representative,engineering and technology | computers and electronics | mathematics | telecommunications,apple ios | google workspace software | microsoft excel | adobe acrobat | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop
