normalized_term,skip_reason,count,raw_examples,recoverable
165,numeric_only,1,165,False
166,numeric_only,1,166,False
167,numeric_only,1,167,False
168,numeric_only,1,168,False
169,numeric_only,1,169,False
17,numeric_only,1,17,False
170,numeric_only,1,170,False
171,numeric_only,1,171,False
172,numeric_only,1,172,False
173,numeric_only,1,173,False
174,numeric_only,1,174,False
175,numeric_only,1,175,False
176,numeric_only,1,176,False
177,numeric_only,1,177,False
178,numeric_only,1,178,False
179,numeric_only,1,179,False
18,numeric_only,1,18,False
180,numeric_only,1,180,False
181,numeric_only,1,181,False
182,numeric_only,1,182,False
183,numeric_only,1,183,False
184,numeric_only,1,184,False
185,numeric_only,1,185,False
186,numeric_only,1,186,False
187,numeric_only,1,187,False
188,numeric_only,1,188,False
189,numeric_only,1,189,False
19,numeric_only,1,19,False
190,numeric_only,1,190,False
191,numeric_only,1,191,False
192,numeric_only,1,192,False
193,numeric_only,1,193,False
194,numeric_only,1,194,False
195,numeric_only,1,195,False
196,numeric_only,1,196,False
197,numeric_only,1,197,False
198,numeric_only,1,198,False
199,numeric_only,1,199,False
20,numeric_only,1,20,False
200,numeric_only,1,200,False
201,numeric_only,1,201,False
202,numeric_only,1,202,False
203,numeric_only,1,203,False
204,numeric_only,1,204,False
205,numeric_only,1,205,False
206,numeric_only,1,206,False
207,numeric_only,1,207,False
208,numeric_only,1,208,False
209,numeric_only,1,209,False
21,numeric_only,1,21,False
210,numeric_only,1,210,False
211,numeric_only,1,211,False
212,numeric_only,1,212,False
213,numeric_only,1,213,False
214,numeric_only,1,214,False
215,numeric_only,1,215,False
216,numeric_only,1,216,False
217,numeric_only,1,217,False
218,numeric_only,1,218,False
219,numeric_only,1,219,False
22,numeric_only,1,22,False
220,numeric_only,1,220,False
221,numeric_only,1,221,False
222,numeric_only,1,222,False
223,numeric_only,1,223,False
224,numeric_only,1,224,False
225,numeric_only,1,225,False
226,numeric_only,1,226,False
227,numeric_only,1,227,False
228,numeric_only,1,228,False
229,numeric_only,1,229,False
23,numeric_only,1,23,False
230,numeric_only,1,230,False
231,numeric_only,1,231,False
232,numeric_only,1,232,False
233,numeric_only,1,233,False
234,numeric_only,1,234,False
235,numeric_only,1,235,False
236,numeric_only,1,236,False
237,numeric_only,1,237,False
238,numeric_only,1,238,False
239,numeric_only,1,239,False
24,numeric_only,1,24,False
240,numeric_only,1,240,False
241,numeric_only,1,241,False
242,numeric_only,1,242,False
243,numeric_only,1,243,False
244,numeric_only,1,244,False
245,numeric_only,1,245,False
246,numeric_only,1,246,False
247,numeric_only,1,247,False
248,numeric_only,1,248,False
249,numeric_only,1,249,False
25,numeric_only,1,25,False
250,numeric_only,1,250,False
251,numeric_only,1,251,False
252,numeric_only,1,252,False
253,numeric_only,1,253,False
254,numeric_only,1,254,False
255,numeric_only,1,255,False
256,numeric_only,1,256,False
257,numeric_only,1,257,False
258,numeric_only,1,258,False
259,numeric_only,1,259,False
26,numeric_only,1,26,False
260,numeric_only,1,260,False
261,numeric_only,1,261,False
262,numeric_only,1,262,False
263,numeric_only,1,263,False
264,numeric_only,1,264,False
265,numeric_only,1,265,False
266,numeric_only,1,266,False
267,numeric_only,1,267,False
268,numeric_only,1,268,False
269,numeric_only,1,269,False
27,numeric_only,1,27,False
270,numeric_only,1,270,False
271,numeric_only,1,271,False
272,numeric_only,1,272,False
273,numeric_only,1,273,False
274,numeric_only,1,274,False
275,numeric_only,1,275,False
276,numeric_only,1,276,False
277,numeric_only,1,277,False
278,numeric_only,1,278,False
279,numeric_only,1,279,False
28,numeric_only,1,28,False
280,numeric_only,1,280,False
281,numeric_only,1,281,False
282,numeric_only,1,282,False
283,numeric_only,1,283,False
284,numeric_only,1,284,False
285,numeric_only,1,285,False
286,numeric_only,1,286,False
287,numeric_only,1,287,False
288,numeric_only,1,288,False
289,numeric_only,1,289,False
29,numeric_only,1,29,False
290,numeric_only,1,290,False
291,numeric_only,1,291,False
292,numeric_only,1,292,False
293,numeric_only,1,293,False
294,numeric_only,1,294,False
295,numeric_only,1,295,False
296,numeric_only,1,296,False
297,numeric_only,1,297,False
298,numeric_only,1,298,False
299,numeric_only,1,299,False
30,numeric_only,1,30,False
300,numeric_only,1,300,False
301,numeric_only,1,301,False
302,numeric_only,1,302,False
303,numeric_only,1,303,False
304,numeric_only,1,304,False
305,numeric_only,1,305,False
306,numeric_only,1,306,False
307,numeric_only,1,307,False
308,numeric_only,1,308,False
309,numeric_only,1,309,False
31,numeric_only,1,31,False
310,numeric_only,1,310,False
311,numeric_only,1,311,False
312,numeric_only,1,312,False
313,numeric_only,1,313,False
314,numeric_only,1,314,False
315,numeric_only,1,315,False
316,numeric_only,1,316,False
317,numeric_only,1,317,False
318,numeric_only,1,318,False
319,numeric_only,1,319,False
32,numeric_only,1,32,False
320,numeric_only,1,320,False
321,numeric_only,1,321,False
322,numeric_only,1,322,False
323,numeric_only,1,323,False
324,numeric_only,1,324,False
325,numeric_only,1,325,False
326,numeric_only,1,326,False
327,numeric_only,1,327,False
328,numeric_only,1,328,False
329,numeric_only,1,329,False
33,numeric_only,1,33,False
330,numeric_only,1,330,False
331,numeric_only,1,331,False
332,numeric_only,1,332,False
333,numeric_only,1,333,False
334,numeric_only,1,334,False
335,numeric_only,1,335,False
336,numeric_only,1,336,False
337,numeric_only,1,337,False
338,numeric_only,1,338,False
339,numeric_only,1,339,False
34,numeric_only,1,34,False
340,numeric_only,1,340,False
341,numeric_only,1,341,False
342,numeric_only,1,342,False
343,numeric_only,1,343,False
344,numeric_only,1,344,False
345,numeric_only,1,345,False
346,numeric_only,1,346,False
347,numeric_only,1,347,False
348,numeric_only,1,348,False
349,numeric_only,1,349,False
35,numeric_only,1,35,False
350,numeric_only,1,350,False
351,numeric_only,1,351,False
352,numeric_only,1,352,False
353,numeric_only,1,353,False
354,numeric_only,1,354,False
355,numeric_only,1,355,False
356,numeric_only,1,356,False
357,numeric_only,1,357,False
358,numeric_only,1,358,False
359,numeric_only,1,359,False
36,numeric_only,1,36,False
360,numeric_only,1,360,False
361,numeric_only,1,361,False
362,numeric_only,1,362,False
363,numeric_only,1,363,False
364,numeric_only,1,364,False
365,numeric_only,1,365,False
366,numeric_only,1,366,False
367,numeric_only,1,367,False
368,numeric_only,1,368,False
369,numeric_only,1,369,False
37,numeric_only,1,37,False
370,numeric_only,1,370,False
371,numeric_only,1,371,False
372,numeric_only,1,372,False
373,numeric_only,1,373,False
374,numeric_only,1,374,False
375,numeric_only,1,375,False
376,numeric_only,1,376,False
377,numeric_only,1,377,False
378,numeric_only,1,378,False
379,numeric_only,1,379,False
38,numeric_only,1,38,False
380,numeric_only,1,380,False
381,numeric_only,1,381,False
382,numeric_only,1,382,False
383,numeric_only,1,383,False
384,numeric_only,1,384,False
385,numeric_only,1,385,False
386,numeric_only,1,386,False
387,numeric_only,1,387,False
388,numeric_only,1,388,False
389,numeric_only,1,389,False
39,numeric_only,1,39,False
390,numeric_only,1,390,False
391,numeric_only,1,391,False
392,numeric_only,1,392,False
393,numeric_only,1,393,False
394,numeric_only,1,394,False
395,numeric_only,1,395,False
396,numeric_only,1,396,False
397,numeric_only,1,397,False
398,numeric_only,1,398,False
399,numeric_only,1,399,False
40,numeric_only,1,40,False
400,numeric_only,1,400,False
401,numeric_only,1,401,False
402,numeric_only,1,402,False
403,numeric_only,1,403,False
404,numeric_only,1,404,False
405,numeric_only,1,405,False
406,numeric_only,1,406,False
407,numeric_only,1,407,False
408,numeric_only,1,408,False
409,numeric_only,1,409,False
41,numeric_only,1,41,False
410,numeric_only,1,410,False
411,numeric_only,1,411,False
412,numeric_only,1,412,False
413,numeric_only,1,413,False
414,numeric_only,1,414,False
415,numeric_only,1,415,False
416,numeric_only,1,416,False
417,numeric_only,1,417,False
418,numeric_only,1,418,False
419,numeric_only,1,419,False
42,numeric_only,1,42,False
420,numeric_only,1,420,False
421,numeric_only,1,421,False
422,numeric_only,1,422,False
423,numeric_only,1,423,False
424,numeric_only,1,424,False
425,numeric_only,1,425,False
426,numeric_only,1,426,False
427,numeric_only,1,427,False
428,numeric_only,1,428,False
429,numeric_only,1,429,False
43,numeric_only,1,43,False
430,numeric_only,1,430,False
431,numeric_only,1,431,False
432,numeric_only,1,432,False
433,numeric_only,1,433,False
434,numeric_only,1,434,False
435,numeric_only,1,435,False
436,numeric_only,1,436,False
437,numeric_only,1,437,False
438,numeric_only,1,438,False
439,numeric_only,1,439,False
44,numeric_only,1,44,False
440,numeric_only,1,440,False
441,numeric_only,1,441,False
442,numeric_only,1,442,False
443,numeric_only,1,443,False
444,numeric_only,1,444,False
445,numeric_only,1,445,False
446,numeric_only,1,446,False
447,numeric_only,1,447,False
448,numeric_only,1,448,False
449,numeric_only,1,449,False
45,numeric_only,1,45,False
450,numeric_only,1,450,False
451,numeric_only,1,451,False
452,numeric_only,1,452,False
453,numeric_only,1,453,False
46,numeric_only,1,46,False
47,numeric_only,1,47,False
48,numeric_only,1,48,False
49,numeric_only,1,49,False
50,numeric_only,1,50,False
51,numeric_only,1,51,False
52,numeric_only,1,52,False
53,numeric_only,1,53,False
54,numeric_only,1,54,False
55,numeric_only,1,55,False
56,numeric_only,1,56,False
57,numeric_only,1,57,False
58,numeric_only,1,58,False
59,numeric_only,1,59,False
60,numeric_only,1,60,False
61,numeric_only,1,61,False
62,numeric_only,1,62,False
63,numeric_only,1,63,False
64,numeric_only,1,64,False
65,numeric_only,1,65,False
66,numeric_only,1,66,False
67,numeric_only,1,67,False
68,numeric_only,1,68,False
69,numeric_only,1,69,False
70,numeric_only,1,70,False
71,numeric_only,1,71,False
72,numeric_only,1,72,False
73,numeric_only,1,73,False
74,numeric_only,1,74,False
75,numeric_only,1,75,False
76,numeric_only,1,76,False
77,numeric_only,1,77,False
78,numeric_only,1,78,False
79,numeric_only,1,79,False
80,numeric_only,1,80,False
81,numeric_only,1,81,False
82,numeric_only,1,82,False
83,numeric_only,1,83,False
84,numeric_only,1,84,False
85,numeric_only,1,85,False
86,numeric_only,1,86,False
87,numeric_only,1,87,False
88,numeric_only,1,88,False
89,numeric_only,1,89,False
90,numeric_only,1,90,False
91,numeric_only,1,91,False
92,numeric_only,1,92,False
93,numeric_only,1,93,False
94,numeric_only,1,94,False
95,numeric_only,1,95,False
96,numeric_only,1,96,False
97,numeric_only,1,97,False
98,numeric_only,1,98,False
99,numeric_only,1,99,False
python or r or sas,stack_blob,1,python or r or sas,True
5+ years of experience in a similar role and experience in web attribution analytics,too_long,1,['5+ years of experience in a similar role and experience in web attribution analytics.'],False
cloud infrastructure and threat intelligenceexperience with data visualization and programming languages,too_long,1,' cloud infrastructure and threat intelligenceexperience with data visualization and programming languages',False
computer vision or developing software libraries that abstract/encapsulate custom hardware devices,too_long,1,' computer vision or developing software libraries that abstract/encapsulate custom hardware devices.'],False
data scientist and data analysis or running data pipelines and machine learning or matlab and python,too_long,1,['(data scientist ) and (data analysis or running data pipelines ) and(machine learning or matlab ) and(python )'],False
data scientist data pipeline modeling data engineer r sas python spark machine learning,too_long,1,['data scientist data pipeline modeling data engineer r sas python spark machine learning'],False
data scientist machine learning statistical modeling database data python r cloud,too_long,1,['data scientist machine learning statistical modeling database data python r cloud'],False
data scientists and data analysts with u s citizenship required and able to obtain a top secret or secret clearance,too_long,1,['data scientists and data analysts with u.s. citizenship required and able to obtain a top secret or secret clearance'],False
deep learning and machine learning and research and statistical models and python,too_long,1,['deep learning and machine learning and research and statistical models and (python',False
digital tag over 0 2 year s or tag management over 0 2 year s or tagging over 0 2 year s or tealium over 0 2 year s or piwik pro over 0 2 year s or pixel over 0 2 year s or qubit over 0 2 year s or opentag over 0 2 year s or open tag over 0 2 year s or ensighten over 0 2 year s or google tag over 0 2 year s or dynamic tag management over 0 2 year s or tag commander over 0 2 year s or mezzobit over 0 2 year s or supertag over 0 2 year s or super tag over 0 2 year s or tag defender over 0 2 year s or ubertags over 0 2 year s or ddx over 0 2 year s and analytics over 0 2 year s or data scientist over 0 2 year s or informatics over 0 2 year s and javascript over 0 2 year s or java script over 0 2 year s or html over 0 2 year s,too_long,1,['(digital tag over 0.2 year(s) or tag management over 0.2 year(s) or tagging over 0.2 year(s) or tealium over 0.2 year(s) or piwik pro over 0.2 year(s) or pixel over 0.2 year(s) or qubit over 0.2 year(s) or opentag over 0.2 year(s) or open tag over 0.2 year(s) or ensighten over 0.2 year(s) or google tag over 0.2 year(s) or dynamic tag management over 0.2 year(s) or tag commander over 0.2 year(s) or mezzobit over 0.2 year(s) or supertag over 0.2 year(s) or super tag over 0.2 year(s) or tag defender over 0.2 year(s) or ubertags over 0.2 year(s) or ddx over 0.2 year(s) ) and(analytics over 0.2 year(s) or data scientist over 0.2 year(s) or informatics over 0.2 year(s) ) and(javascript over 0.2 year(s) or java script over 0.2 year(s) or html over 0.2 year(s) )'],False
etc o excellent understanding of fundamental machine learning techniques and algorithms,too_long,1,' etc. o excellent understanding of fundamental machine learning techniques and algorithms',False
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud,too_long,1,['expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud.'],False
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud should have hands on experience configuring and onboarding users including developer,too_long,1,['expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud.   should have hands on experience configuring and onboarding users including developer'],False
https //www dice com/jobs/detail/application-architect-v-mitchell-martin-charlotte-nc-28201/mitchmar1/mitca000j19533 icid sr445-15p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Application-Architect-V-Mitchell-Martin-Charlotte-NC-28201/mitchmar1/MITCA000J19533?icid=sr445-15p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/associate-director 2c-lead-data-scientist-s 26p-global-new-york-ny-10001/rtx14fecf/236706 icid sr314-11p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Associate-Director%2C-Lead-Data-Scientist-S%26P-Global-New-York-NY-10001/RTX14fecf/236706?icid=sr314-11p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/associate-director 2c-lead-data-scientist-s 26p-global-ratings-boston-ma-02110/rtx14fecf/240789 icid sr312-11p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Associate-Director%2C-Lead-Data-Scientist-S%26P-Global-Ratings-Boston-MA-02110/RTX14fecf/240789?icid=sr312-11p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/associate-director 2c-lead-data-scientist-s 26p-global-ratings-new-york-ny-10001/rtx14fecf/240788 icid sr311-11p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Associate-Director%2C-Lead-Data-Scientist-S%26P-Global-Ratings-New-York-NY-10001/RTX14fecf/240788?icid=sr311-11p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/associate-director 2c-senior-data-scientist-s 26p-global-market-intelligence-new-york-ny-10001/rtx14fecf/237927 1 icid sr313-11p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Associate-Director%2C-Senior-Data-Scientist-S%26P-GLOBAL-MARKET-INTELLIGENCE-New-York-NY-10001/RTX14fecf/237927_1?icid=sr313-11p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/azure-cloud-engineer-apex-systems 2c-inc-chicago-il-60631/apexsan/618805 icid sr386-13p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Azure-Cloud-Engineer-Apex-Systems%2C-Inc-Chicago-IL-60631/apexsan/618805?icid=sr386-13p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/bi-data-scientist-eliassen-group-stamford-ct-06901/cxelisen/311718 icid sr253-9p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/BI-Data-Scientist-Eliassen-Group-Stamford-CT-06901/cxelisen/311718?icid=sr253-9p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/bi-developer 26 2347data-scientist-esha-corp-it-new-york-city-ny-10001/91001914/644019 icid sr300-10p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/BI-Developer%26%2347Data-Scientist-ESHA-CORP-IT-New-York-City-NY-10001/91001914/644019?icid=sr300-10p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/bi-engineer 26 2347data-scientist-experis-seattle-wa-98141/cxmnpwr1/fox 11356802 26 234575 icid sr293-10p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/BI-Engineer%26%2347Data-Scientist-Experis-Seattle-WA-98141/cxmnpwr1/FOX_11356802%26%234575?icid=sr293-10p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/bi-engineer-spire-systems-inc-seattle-wa-98109/10111972/660073 icid sr391-14p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/BI-Engineer-Spire-Systems-Inc-Seattle-WA-98109/10111972/660073?icid=sr391-14p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/big-data- 28data-scientist 29-5 26 23458-yrs-experience-computer-enterprises 2c-inc -centennial-co-80122/ceiam/655741 icid sr367-13p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Big-Data-%28Data-Scientist%29-5%26%23458-yrs-experience-Computer-Enterprises%2C-Inc.-Centennial-CO-80122/ceiam/655741?icid=sr367-13p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/big-data-engineers-kpk-technologies 2c-inc-chicago-il-60603/10271690/big21 icid sr442-15p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Big-Data-Engineers-KPK-Technologies%2C-Inc-Chicago-IL-60603/10271690/BIG21?icid=sr442-15p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/big-data-scientist- 26 2347-clinical-analyst- 26 2345-boston-unitedhealth-group-boston-ma-02108/uhgbot/772836 icid sr309-11p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Big-Data-Scientist-%26%2347-Clinical-Analyst-%26%2345-Boston-UnitedHealth-Group-Boston-MA-02108/uhgbot/772836?icid=sr309-11p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/big-data-scientist-omm-it-solutions-baltimore-md-21244/90934554/bdshls2 icid sr260-9p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Big-Data-Scientist-Omm-IT-Solutions-Baltimore-MD-21244/90934554/BDSHLS2?icid=sr260-9p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/business-analyst 26 2347-data-scientist 10482-sedaa-san-ramon-ca-94583/90752961/384608 icid sr296-10p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Business-Analyst%26%2347-Data-scientist_10482-Sedaa-San-Ramon-CA-94583/90752961/384608?icid=sr296-10p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/business-analyst-kutir-inc-helena-mt-59601/10121915/a0919ba icid sr388-13p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Business-Analyst-Kutir-Inc-Helena-MT-59601/10121915/A0919BA?icid=sr388-13p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/business-analyst-onx-enterprise-solutions-houston-tx-77042/10117905e/641165 icid sr441-15p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Business-Analyst-OnX-Enterprise-Solutions-Houston-TX-77042/10117905e/641165?icid=sr441-15p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/business-analyst-onx-enterprise-solutions-houston-tx-77079/10117905d/644028 icid sr382-13p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Business-Analyst-OnX-Enterprise-Solutions-Houston-TX-77079/10117905d/644028?icid=sr382-13p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/business-intelligence-engineer-iii-experis-seattle-wa-98141/cxmnpwr1/fox 11356601 26 2345743 icid sr428-15p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Business-Intelligence-Engineer-III-Experis-Seattle-WA-98141/cxmnpwr1/FOX_11356601%26%2345743?icid=sr428-15p&q=%22Data+Scientist%22&l=,False
https //www dice com/jobs/detail/chief-data-scientist-cybercoders-nashville-tn-37201/cybercod/lp6 26 234514825101 icid sr202-7p and q 22data+scientist 22 and l,too_long,1,https://www.dice.com/jobs/detail/Chief-Data-Scientist-CyberCoders-Nashville-TN-37201/cybercod/LP6%26%234514825101?icid=sr202-7p&q=%22Data+Scientist%22&l=,False
